maskapai_id,tahun,aircraft_km_ribuan,aircraft_departures,aircraft_hours_minutes,passengers_carried,freight_carried_ton,passenger_km_ribuan,available_seat_km_ribuan,passenger_load_factor,ton_km_total_ribuan,available_ton_km_ribuan,weight_load_factor
MY_INDO_AIRLINES,2022,690.0,2738.0,66.0,,19196.0,,,,4794.0,9485.0,50.54
MY_INDO_AIRLINES,2023,738.0,2708.0,117628.0,,21321.0,,,,5794.0,11267.0,51.42
MY_INDO_AIRLINES,2024,728.0,2449.0,133264.0,,20687.0,,,,5739.0,12333.0,46.53
NAM_AIR,2020,5662.0,10156.0,681951.0,688220.0,4266.0,385601.0,629601.0,61.25,37637.0,77099.0,48.82
NAM_AIR,2021,2691.0,4497.0,320159.0,292413.0,2295.0,173972.0,267028.0,65.15,17069.0,26707.0,63.91
NAM_AIR,2022,4554.0,5964.0,420712.0,577044.0,3035.0,440609.0,540441.0,81.53,42463.0,57547.0,73.79
NAM_AIR,2023,3756.0,4563.0,345945.0,490262.0,1485.0,395917.0,450864.0,87.81,36839.0,47575.0,77.43
NAM_AIR,2024,3847.0,5144.0,397405.0,527271.0,1573.0,391970.0,465100.0,84.28,36476.0,49187.0,74.0
PELITA_AIR_SERVICE,2021,1558.0,1796.0,,167188.0,,148620.0,280648.0,52.96,9020.0,27586.0,32.7
PELITA_AIR_SERVICE,2022,8062.0,9543.0,184985.0,1324243.0,703.0,1115962.0,1418015.0,78.7,87834.0,142791.0,61.51
PELITA_AIR_SERVICE,2023,18003.0,18795.0,962520.0,2675846.0,8334.0,2527001.0,3174003.0,79.62,195216.0,318900.0,61.22
RUSKY_AERO_INTERNATIONAL,2023,23.0,16.0,2260.0,,16.0,,,,23.0,506.0,4.55
RUSKY_AERO_INTERNATIONAL,2024,6.0,4.0,575.0,,44.0,,,,64.0,128.0,50.0
SRIWIJAYA_AIR,2020,13685.0,15155.0,1416546.0,1590429.0,19747.0,1473604.0,2435339.0,60.51,151809.0,246751.0,61.52
SRIWIJAYA_AIR,2021,8910.0,9319.0,922563.0,1115978.0,15074.0,1080770.0,1699438.0,63.6,112040.0,169835.0,65.97
SRIWIJAYA_AIR,2022,10570.0,11773.0,1081839.0,1597953.0,16057.0,1477317.0,1982424.0,74.52,148361.0,206979.0,71.68
SRIWIJAYA_AIR,2023,5298.0,6910.0,580601.0,916301.0,5986.0,747026.0,930196.0,80.31,72086.0,97400.0,74.01
SRIWIJAYA_AIR,2024,4775.0,5272.0,499605.0,718756.0,4436.0,687634.0,816453.0,84.22,66.21,85934.0,77.0
SUPER_AIR_JET,2021,1574.0,2700.0,287504.0,398483.0,1193.0,226995.0,283312.0,80.0,16926.0,29524.0,57.0
SUPER_AIR_JET,2022,20420.0,37029.0,3907630.0,5661936.0,9591.0,3086372.0,3675306.0,84.0,225096.0,373875.0,60.0
SUPER_AIR_JET,2023,45097.0,66523.0,7047997.0,10216538.0,50830.0,6803754.0,8117815.0,84.0,517908.0,827688.0,63.0
SUPER_AIR_JET,2024,45905.0,68697.0,7212743.0,10771878.0,69245.0,7090903.0,8262740.0,86.0,549888.0,832841.0,66.0
TRANSNUSA_AVIATION_MANDIRI,2020,1635.0,4687.0,308660.0,197524.0,2180.0,67673.0,107518.0,62.94,6532.0,10656.0,61.29
TRANSNUSA_AVIATION_MANDIRI,2022,1149.0,1265.0,99304.0,145593.0,9.0,133282.0,196716.0,67.75,12006.0,10520.0,114.13
TRANSNUSA_AVIATION_MANDIRI,2023,5746.0,5971.0,587511.0,779425.0,,749069.0,967154.0,77.45,52435.0,94593.0,55.43
TRANSNUSA_AVIATION_MANDIRI,2024,4865.0,4718.0,474060.0,559666.0,0.0,583884.0,800527.0,72.94,40868.0,55688.0,73.0
TRAVEL_EXPRESS_AVIATION_SERVICE,2020,667.0,1205.0,84556.0,65912.0,279.0,43313.0,64081.0,67.59,4130.0,9527.0,43.36
TRI_MG_AIRLINES,2020,492.0,733.0,51655.0,,10132.0,,,,6830.0,8027.0,85.08
TRI_MG_AIRLINES,2021,442.0,682.0,41991.0,,9877.0,,,,6410.0,7201.0,89.0
TRI_MG_AIRLINES,2022,1041.0,1439.0,89716.0,,19889.0,,,,13696.0,17739.0,77.0
TRI_MG_AIRLINES,2023,535.0,805.0,48723.0,,11051.0,,,,6814.0,9312.0,73.0
TRI_MG_AIRLINES,2024,779.0,1724.0,71549.0,0.0,14569.0,0.0,0.0,0.0,7773.0,13180.0,59.0
TRIGANA_AIR_SERVICE,2020,4219.0,13569.0,587172.0,236951.0,65754.0,94277.0,136980.0,68.83,26171.0,47603.0,54.98
TRIGANA_AIR_SERVICE,2021,3127.0,11655.0,515949.0,120737.0,58892.0,37945.0,56187.0,67.53,17565.0,32767.0,53.61
TRIGANA_AIR_SERVICE,2022,4059.0,15122.0,662141.0,234784.0,71044.0,67689.0,95357.0,70.98,23406.0,43364.0,53.98
TRIGANA_AIR_SERVICE,2023,3959.0,14648.0,641807.0,330433.0,61749.0,93106.0,122138.0,76.23,23198.0,41749.0,55.57
TRIGANA_AIR_SERVICE,2024,4696.0,17222.0,755727.0,458675.0,65433.0,126452.0,164299.0,76.96,27311.0,47491.0,58.0
WINGS_ABADI_AIRLINES,2020,24858.0,65600.0,3760141.0,2816896.0,4306.0,1059908.0,1789804.0,59.22,76048.0,160417.0,47.41
WINGS_ABADI_AIRLINES,2021,11598.0,52275.0,3529809.0,2621559.0,6341.0,579695.0,835064.0,69.42,42292.0,74108.0,57.07
WINGS_ABADI_AIRLINES,2022,16648.0,76233.0,5262070.0,3920529.0,8719.0,849862.0,1198613.0,70.9,61533.0,104628.0,58.81
WINGS_ABADI_AIRLINES,2023,18848.0,64901.0,4382278.0,3293337.0,6888.0,951259.0,1357110.0,70.09,68815.0,120335.0,57.19
WINGS_ABADI_AIRLINES,2024,16977.0,46531.0,3043313.0,2548023.0,4521.0,920037.0,1222323.0,75.27,66062.0,108041.0,61.0
