tahun,propinsi,nama_bandara,kota,tipe_penerbangan,pesawat_datang,pesawat_berangkat,penumpang_datang,penumpang_berangkat,penumpang_total,penumpang_transit,barang_total_kg,bagasi_total_kg
2024,PROPINSI DAERAH ISTIMEWA ACEH,KUALA BATU,BLANG PIDIE,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,BLANGKEJEN,GAYO LUWES,DOMESTIK,91.0,91.0,164.0,223.0,387.0,0.0,0.0,5102.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,BLANGKEJEN,GAYO LUWES,DOMESTIK,98.0,97.0,203.0,265.0,468.0,0.0,0.0,7.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,BLANGKEJEN,GAYO LUWES,DOMESTIK,51.0,51.0,180.0,221.0,401.0,0.0,0.0,3149.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,BLANGKEJEN,GAYO LUWES,DOMESTIK,51.0,51.0,308.0,402.0,710.0,0.0,0.0,4309.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,BLANGKEJEN,GAYO LUWES,DOMESTIK,260.0,250.0,1534.0,1511.0,3045.0,406.0,2.0,8229.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,DOMESTIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,DOMESTIK,7.0,7.0,323.0,325.0,648.0,0.0,0.0,0.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,DOMESTIK,8.0,9.0,69.0,78.0,147.0,0.0,5068.0,1.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,DOMESTIK,74.0,72.0,204.0,481.0,685.0,0.0,0.0,1617.0
2020,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,INTERNASIONAL,8.0,9.0,69.0,78.0,147.0,0.0,5068.0,1.0
2024,PROPINSI DAERAH ISTIMEWA ACEH,MAIMUN SALEH,SABANG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,DOMESTIK,15967.0,15937.0,1494613.0,1313773.0,2808386.0,153258.0,46999205.0,17459500.0
2021,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,DOMESTIK,15188.0,15563.0,1379359.0,1380092.0,2759451.0,275316.0,56163717.0,21386244.0
2022,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,DOMESTIK,21731.0,21724.0,2486205.0,2349109.0,4835314.0,196305.0,49897905.0,44270698.0
2023,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,DOMESTIK,21824.0,21805.0,2739922.0,2540202.0,5280124.0,239936.0,45915511.0,46770990.0
2024,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,DOMESTIK,18202.0,18021.0,2376661.0,2417504.0,4794165.0,121545.0,56034769.0,40184058.0
2020,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,INTERNASIONAL,2003.0,2023.0,220501.0,188.0,408941.0,9337.0,3209794.0,4596092.0
2021,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,INTERNASIONAL,3484.0,3525.0,280787.0,282.0,563757.0,34103.0,9442153.0,4518058.0
2022,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,INTERNASIONAL,3237.0,3211.0,388009.0,414653.0,802662.0,0.0,795087.0,9711414.0
2023,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,INTERNASIONAL,7637.0,7652.0,943738.0,924956.0,1868694.0,6.0,2251876.0,18854171.0
2024,PROPINSI SUMATERA UTARA,KUALANAMU,MEDAN,INTERNASIONAL,8409.0,8595.0,1127918.0,1103644.0,2231562.0,39.0,3172807.0,22778005.0
2020,PROPINSI SUMATERA UTARA,FERDINAND L. TOBING,SIBOLGA,DOMESTIK,669.0,669.0,26318.0,26.0,52608.0,118.0,65513.0,297294.0
2021,PROPINSI SUMATERA UTARA,FERDINAND L. TOBING,SIBOLGA,DOMESTIK,395.0,395.0,12551.0,13156.0,25707.0,26.0,35963.0,195063.0
2022,PROPINSI SUMATERA UTARA,FERDINAND L. TOBING,SIBOLGA,DOMESTIK,579.0,579.0,25251.0,24178.0,49429.0,0.0,46523.0,248695.0
2023,PROPINSI SUMATERA UTARA,FERDINAND L. TOBING,SIBOLGA,DOMESTIK,589.0,589.0,27307.0,26302.0,53609.0,0.0,43668.0,267359.0
2024,PROPINSI SUMATERA UTARA,FERDINAND L. TOBING,SIBOLGA,DOMESTIK,528.0,524.0,22187.0,20.0,43057.0,0.0,50471.0,188585.0
2020,PROPINSI SUMATERA UTARA,BINAKA,GUNUNG SITOLI,DOMESTIK,1879.0,1879.0,79342.0,80398.0,159.0,1.0,1004321.0,643157.0
2021,PROPINSI SUMATERA UTARA,BINAKA,GUNUNG SITOLI,DOMESTIK,2031.0,2031.0,83737.0,98697.0,182434.0,370.0,716512.0,656.0
2022,PROPINSI SUMATERA UTARA,BINAKA,GUNUNG SITOLI,DOMESTIK,2215.0,2176.0,99384.0,115978.0,215362.0,0.0,461373.0,1029131.0
2023,PROPINSI SUMATERA UTARA,BINAKA,GUNUNG SITOLI,DOMESTIK,2045.0,2044.0,102192.0,115707.0,217899.0,0.0,410541.0,1083238.0
2024,PROPINSI SUMATERA UTARA,BINAKA,GUNUNG SITOLI,DOMESTIK,1.0,1681.0,88007.0,92468.0,180475.0,0.0,427.0,850172.0
2020,PROPINSI SUMATERA UTARA,AEK GODANG,PADANG SIDEMPUAN,DOMESTIK,95.0,95.0,3144.0,3118.0,6262.0,0.0,6468.0,11526.0
2021,PROPINSI SUMATERA UTARA,AEK GODANG,PADANG SIDEMPUAN,DOMESTIK,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI SUMATERA UTARA,AEK GODANG,PADANG SIDEMPUAN,DOMESTIK,2.0,2.0,8.0,10.0,18.0,0.0,0.0,0.0
2023,PROPINSI SUMATERA UTARA,AEK GODANG,PADANG SIDEMPUAN,DOMESTIK,3.0,3.0,76.0,79.0,155.0,0.0,0.0,0.0
2024,PROPINSI SUMATERA UTARA,AEK GODANG,PADANG SIDEMPUAN,DOMESTIK,4.0,4.0,25.0,31.0,56.0,0.0,0.0,0.0
2020,PROPINSI SUMATERA UTARA,LASONDRE,PULAU-PULAU BATU,DOMESTIK,327.0,327.0,1769.0,2096.0,3865.0,3.0,540.0,34202.0
2021,PROPINSI SUMATERA UTARA,LASONDRE,PULAU-PULAU BATU,DOMESTIK,334.0,335.0,2175.0,2612.0,4787.0,0.0,0.0,38541.0
2022,PROPINSI SUMATERA UTARA,LASONDRE,PULAU-PULAU BATU,DOMESTIK,424.0,424.0,3672.0,4008.0,7.0,0.0,1866.0,86276.0
2023,PROPINSI SUMATERA UTARA,LASONDRE,PULAU-PULAU BATU,DOMESTIK,523.0,517.0,4511.0,4758.0,9269.0,0.0,17612.0,118681.0
2024,PROPINSI SUMATERA UTARA,LASONDRE,PULAU-PULAU BATU,DOMESTIK,536.0,532.0,4136.0,4247.0,8383.0,0.0,11371.0,81623.0
2020,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,DOMESTIK,930.0,930.0,89622.0,87116.0,176738.0,0.0,608391.0,1470846.0
2021,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,DOMESTIK,1095.0,1095.0,99828.0,105618.0,205446.0,0.0,2443475.0,2011290.0
2022,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,DOMESTIK,1191.0,1191.0,152887.0,147.0,300527.0,2.0,2951468.0,2906255.0
2023,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,DOMESTIK,1655.0,1655.0,224836.0,223305.0,448141.0,1.0,3521586.0,4317154.0
2024,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,DOMESTIK,1669.0,1668.0,246764.0,249771.0,496535.0,34.0,3129432.0,4928633.0
2020,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,INTERNASIONAL,34.0,34.0,2975.0,2873.0,5848.0,0.0,0.0,28.0
2021,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,INTERNASIONAL,2.0,2.0,15.0,0.0,15.0,0.0,0.0,0.0
2024,PROPINSI SUMATERA UTARA,SILANGIT,SIBORONG-BORONG,INTERNASIONAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,PROPINSI SUMATERA UTARA,SIBISA,KAB. TOBA,DOMESTIK,41.0,41.0,77.0,95.0,172.0,0.0,0.0,967.0
2021,PROPINSI SUMATERA UTARA,SIBISA,KAB. TOBA,DOMESTIK,53.0,53.0,290.0,329.0,619.0,0.0,0.0,3545.0
2022,PROPINSI SUMATERA UTARA,SIBISA,KAB. TOBA,DOMESTIK,51.0,51.0,471.0,419.0,890.0,0.0,0.0,5867.0
2023,PROPINSI SUMATERA UTARA,SIBISA,KAB. TOBA,DOMESTIK,52.0,52.0,427.0,483.0,910.0,11.0,0.0,6248.0
2024,PROPINSI SUMATERA UTARA,SIBISA,KAB. TOBA,DOMESTIK,104.0,104.0,1023.0,1022.0,2045.0,0.0,0.0,5799.0
